name;alt_names;alt_names_extra;lab;alt_lab;brand;alt_brand;product_id;alt_product_id;type;form;tolerance;tolerance_percent;flocculation;attenuation;min_temperature;max_temperature
Brettanomyces bruxellensis - Strain TYB207;;;The Yeast Bay;TYB;;;TYB207;;brett-bacteria;liquid;high;;low;81;22;28
Brettanomyces bruxellensis - Strain TYB307;;;The Yeast Bay;TYB;;;TYB307;;brett-bacteria;liquid;high;;low;82;21;27
Brettanomyces bruxellensis - Strain TYB415;;;The Yeast Bay;TYB;;;TYB415;;brett-bacteria;liquid;high;;low;84;21;27
Brussels Brettanomyces Blend;;;The Yeast Bay;TYB;;;WLP4613;;brett-bacteria;liquid;high;;medium;80;21;27
Dark Belgian Cask;;;The Yeast Bay;TYB;;;WLP4653;;brett-bacteria;liquid;high;;medium;82.5;20;24
Dry Belgian Ale;;;The Yeast Bay;TYB;;;WLP4025;;ale;liquid;high;;high;92.5;20;23
Farmhouse Sour Ale;;;The Yeast Bay;TYB;;;WLP4675;;brett-bacteria;liquid;low;;medium;90;21;26
Flanders Specialty Ale;;;The Yeast Bay;TYB;;;WLP4001;;ale;liquid;high;;medium;80;20;27
Framgarden Kveik;;;The Yeast Bay;TYB;;;WLP4051;;ale;liquid;high;;medium;80;27;35
Franconian Dark Lager;;;The Yeast Bay;TYB;;;WLP4030;;ale;liquid;low;;medium;71;8;11
Funktown Pale Ale;;;The Yeast Bay;TYB;;;WLP4627;;ale;liquid;low;;medium;79;20;23
Hazy Daze;;;The Yeast Bay;TYB;;;WLP4042;;ale;liquid;medium;;low;81;18;21
Hazy Daze II;;;The Yeast Bay;TYB;;;WLP4044;;ale;liquid;low;;low;83;19;22
Hessian Pils;;;The Yeast Bay;TYB;;;WLP4035;;ale;liquid;low;;medium;73.5;7;9
Hornindal Kveik;;;The Yeast Bay;TYB;;;WLP4050;;ale;liquid;high;;medium;79;27;35
Lactobacillus Blend;;;The Yeast Bay;TYB;;;WLP4682;;brett-bacteria;liquid;low;;low;80;21;32
Lactobacillus brevis - Strain TYB282;;;The Yeast Bay;TYB;;;WLP4681;;brett-bacteria;liquid;low;;low;4;21;32
Lida Kveik;;;The Yeast Bay;TYB;;;WLP4052;;ale;liquid;high;;low;79;27;32
Lochristi Brettanomyces Blend;;;The Yeast Bay;TYB;;;WLP4623;;brett-bacteria;liquid;low;;medium;80;21;27
Sour Blend;;;The Yeast Bay;TYB;;;WLP4633;;brett-bacteria;liquid;low;;medium;85;20;26
Metschnikowia reukaufii ;;;The Yeast Bay;TYB;;;WLP4650;;ale;liquid;medium;;low;22.5;16;32
Midtbust Kveik;;;The Yeast Bay;TYB;;;WLP4053;;ale;liquid;high;;low;78;24;35
Midwestern Ale;;;The Yeast Bay;TYB;;;WLP4040;;ale;liquid;medium;;medium;78;18;22
Northeastern Abbey;;;The Yeast Bay;TYB;;;WLP4015;;ale;liquid;low;;medium;79;20;24
Pakruojis Lithuanian Farmhouse;;;The Yeast Bay;TYB;;;WLP4047;;ale;liquid;high;;low;95;24;35
Saison Blend;;;The Yeast Bay;TYB;;;WLP4007;;ale;liquid;low;;medium;79;22;28
Saison Blend II;;;The Yeast Bay;TYB;;;WLP4021;;ale;liquid;medium;;medium;85;20;27
Saison/Brettanomyces Blend;;;The Yeast Bay;TYB;;;WLP4626;;brett-bacteria;liquid;low;;medium;80;21;26
Saison/Brettanomyces Blend II;;;The Yeast Bay;TYB;;;WLP4636;;brett-bacteria;liquid;medium;;medium;83;22;27
Sigmund's Voss Kveik;;;The Yeast Bay;TYB;;;WLP4045;;ale;liquid;low;;high;80.5;21;38
Simonaitis Lithuanian Farmhouse;;;The Yeast Bay;TYB;;;WLP4046;;ale;liquid;high;;high;79;24;35
Transatlantic Berliner Blend;;;The Yeast Bay;TYB;;;WLP4645;;brett-bacteria;liquid;medium;;medium;92.5;19;24
TYB House Sour Blend;;;The Yeast Bay;TYB;;;;;brett-bacteria;liquid;high;;low;92.5;20;26
Vermont Ale;;;The Yeast Bay;TYB;;;WLP4000;;ale;liquid;low;;medium;78.5;18;22
Wallonian Farmhouse;;;The Yeast Bay;TYB;;;WLP4020;;ale;liquid;low;;medium;84.5;20;26
Wallonian Farmhouse II;;;The Yeast Bay;TYB;;;WLP4022;;ale;liquid;high;;medium;81;20;27
Wallonian III Farmhouse;;;The Yeast Bay;TYB;;;WLP4023;;ale;liquid;low;;low;83;20;27
Kveik;;;WHC Lab;WHC;;;;;ale;liquid;high;;high;75;30;35
Funky Pineapple;;;WHC Lab;WHC;;;;;ale;liquid;medium;;low;80;18;28
Odin;;;WHC Lab;WHC;;;;;ale;liquid;high;;high;76;25;37
Sanders;;;WHC Lab;WHC;;;;;ale;liquid;medium;;medium;75;16;21
Saturated;;;WHC Lab;WHC;;;;;ale;liquid;medium;;medium;73;20;23
The Wall;;;WHC Lab;WHC;;;;;ale;liquid;medium;;medium;77;16;21
Abbey Ale;;;White Labs;White Lab;;;WLP530;;ale;liquid;high;;medium-high;77.5;19;22
Abbey IV Ale;;;White Labs;White Lab;;;WLP540;;ale;liquid;high;;medium;78;19;22
American Ale Blend;;;White Labs;White Lab;;;WLP060;;ale;liquid;medium;;medium;76;20;22
American Farmhouse Blend;;;White Labs;White Lab;;;WLP670;;ale;liquid;medium;;medium;78.5;20;22
American Hefeweizen Ale;;;White Labs;White Lab;;;WLP320;;ale;liquid;medium;;low;72.5;18;21
American Lager;;;White Labs;White Lab;;;WLP840;;lager;liquid;medium;;medium;77.5;10;13
American Whiskey;;;White Labs;White Lab;;;WLP065;;ale;liquid;high;;medium;79;24;28
Antwerp Ale;;;White Labs;White Lab;;;WLP515;;ale;liquid;medium;;medium;76.5;19;21
Artisanal Country Ale;;;White Labs;White Lab;;;WLP073;;ale;liquid;medium;;medium;77.5;21;28
Australian Ale;;;White Labs;White Lab;;;WLP009;;ale;liquid;medium;;high;72.5;18;21
Bavarian Weizen;;;White Labs;White Lab;;;WLP351;;wheat;liquid;medium;;low;75;19;21
Bedford British;;;White Labs;White Lab;;;WLP006;;ale;liquid;medium;;high;76;18;21
Belgian Ale;;;White Labs;White Lab;;;WLP550;;ale;liquid;medium;;medium;81.5;20;26
Belgian Bastogne Ale;;;White Labs;White Lab;;;WLP510;;ale;liquid;high;;medium;77;19;22
Belgian Golden Ale;;;White Labs;White Lab;;;WLP570;;ale;liquid;high;;low;75.5;20;24
Belgian Lager;;;White Labs;White Lab;;;WLP815;;lager;liquid;medium;;medium;75;10;13
Belgian Saison I;;;White Labs;White Lab;;;WLP565;;ale;liquid;medium;;medium;70;20;24
Belgian Saison II;;;White Labs;White Lab;;;WLP566;;ale;liquid;medium;;medium;81.5;20;26
Belgian Saison III;;;White Labs;White Lab;;;WLP585;;ale;liquid;medium;;low;72;20;24
Belgian Sour Mix 1;;;White Labs;White Lab;;;WLP655;;brett-bacteria;liquid;medium;;medium-low;75;27;29
Belgian Strong Ale;;;White Labs;White Lab;;;WLP545;;ale;liquid;high;;medium;81.5;19;22
Belgian Style Ale Blend;;;White Labs;White Lab;;;WLP575;;ale;liquid;medium;;medium;77;20;24
Belgian Style Saison Blend;;;White Labs;White Lab;;;WLP568;;ale;liquid;medium;;medium;75;21;27
Belgian Wit Ale;;;White Labs;White Lab;;;WLP400;;ale;liquid;medium;;low;76;19;23
Belgian Wit II Ale;;;White Labs;White Lab;;;WLP410;;ale;liquid;medium;;low;72.5;19;23
Berliner Weisse Blend;;;White Labs;White Lab;;;WLP630;;brett-bacteria;liquid;medium;;medium;76.5;20;21
Best Of Both Worlds;;;White Labs;White Lab;;;WLP200;;ale;liquid;medium;;medium;76.5;18;23
Bourbon;;;White Labs;White Lab;;;WLP070;;ale;liquid;high;;medium;77;22;25
Brettanomyces Anomalus;;;White Labs;White Lab;;;WLP640;;brett-bacteria;liquid;medium;;low;77;21;29
Brettanomyces Bruxellensis Trois Vrai;;;White Labs;White Lab;;;WLP648;;brett-bacteria;liquid;medium;;low;85;21;29
Brettanomyces Bruxellensis;;;White Labs;White Lab;;;WLP650;;brett-bacteria;liquid;medium;;low;78;29;35
Brettanomyces Claussenii;;;White Labs;White Lab;;;WLP645;;brett-bacteria;liquid;medium;;low;78;29;35
Brettanomyces Lambicus;;;White Labs;White Lab;;;WLP653;;brett-bacteria;liquid;medium;;low;78;29;35
British Ale;;;White Labs;White Lab;;;WLP005;;ale;liquid;medium;;high;70.5;18;21
Burlington Ale;;;White Labs;White Lab;;;WLP095;;ale;liquid;medium;;medium;75.5;19;21
Burton Ale;;;White Labs;White Lab;;;WLP023;;ale;liquid;medium;;medium;72;20;23
California Ale V;;;White Labs;White Lab;;;WLP051;;ale;liquid;medium;;medium-high;72.5;19;21
California Ale;;;White Labs;White Lab;;;WLP001;;ale;liquid;high;;medium;76.5;20;23
Champagne;;;White Labs;White Lab;;;WLP715;;wine-cider;liquid;;17;low;90;21;24
Coastal Haze Ale Blend;Coastal Haze;;White Labs;White Lab;;;WLP067;;ale;liquid;high;;medium;78;18;26
Copenhagen Lager;;;White Labs;White Lab;;;WLP850;;lager;liquid;medium;;medium;75;10;14
Cream Ale Blend;;;White Labs;White Lab;;;WLP080;;ale;liquid;medium;;medium;77.5;18;21
Cry Havoc;;;White Labs;White Lab;;;WLP862;;ale;liquid;medium;;medium-low;68;20;23
Czech Budejovice Lager;;;White Labs;White Lab;;;WLP802;;lager;liquid;medium;;medium;77.5;10;13
Dry English Ale;;;White Labs;White Lab;;;WLP007;;ale;liquid;medium;;medium-high;75;18;21
Dusseldorf Alt;;;White Labs;White Lab;;;WLP036;;ale;liquid;medium;;medium;68.5;18;22
East Coast Ale;;;White Labs;White Lab;;;WLP008;;ale;liquid;medium;;medium-low;72.5;20;23
East Midlands Ale;;;White Labs;White Lab;;;WLP039;;ale;liquid;medium;;medium-high;77.5;19;21
Edinburgh Scottish Ale;;;White Labs;White Lab;;;WLP028;;ale;liquid;medium;;medium;72.5;18;21
English Ale Blend;;;White Labs;White Lab;;;WLP085;;ale;liquid;medium;;medium-high;72.5;20;22
English Ale;;;White Labs;White Lab;;;WLP002;;ale;liquid;medium;;very-high;66.5;18;20
English Cider;;;White Labs;White Lab;;;WLP775;;wine-cider;liquid;medium;;medium;90;20;24
Essex Ale;;;White Labs;White Lab;;;WLP022;;ale;liquid;medium;;medium-high;73.5;19;21
European Ale;;;White Labs;White Lab;;;WLP011;;ale;liquid;medium;;medium;67.5;18;21
Flemish Ale Blend;;;White Labs;White Lab;;;WLP665;;ale;liquid;medium;;low;83;20;27
French Ale;;;White Labs;White Lab;;;WLP072;;ale;liquid;medium;;medium-high;71.5;17;19
French Saison Ale;;;White Labs;White Lab;;;WLP590;;ale;liquid;medium;;medium;81;21;24
German Ale II;;;White Labs;White Lab;;;WLP003;;ale;liquid;medium;;medium;76.5;18;21
German Ale/ Kölsch;;;White Labs;White Lab;;;WLP029;;ale;liquid;medium;;medium;75;18;21
German Bock Lager;;;White Labs;White Lab;;;WLP833;;lager;liquid;medium;;medium;73;9;13
German Lager X;;;White Labs;White Lab;;;WLP835;;lager;liquid;medium;;medium;73;10;12
German Lager;;;White Labs;White Lab;;;WLP830;;lager;liquid;medium;;medium;76.5;10;13
Hansen Ale Blend;;;White Labs;White Lab;;;WLP075;;ale;liquid;high;;medium;77;19;21
Hefeweizen Ale;;;White Labs;White Lab;;;WLP300;;wheat;liquid;medium;;low;74;20;22
Hefeweizen IV Ale;;;White Labs;White Lab;;;WLP380;;wheat;liquid;medium;;low;76.5;19;21
HP Lager;;;White Labs;White Lab;;;WLP925;;lager;liquid;medium;;medium;77.5;17;20
Irish Ale;;;White Labs;White Lab;;;WLP004;;ale;liquid;medium;;medium-high;71.5;18;20
Klassic Ale;;;White Labs;White Lab;;;WLP033;;ale;liquid;medium;;medium;70;19;21
Lactobacillus Brevis;;;White Labs;White Lab;;;WLP672;;brett-bacteria;liquid;low;;low;80;21;35
Lactobacillus Delbrueckii Bacteria;;;White Labs;White Lab;;;WLP677;;brett-bacteria;liquid;medium;;low;;21;24
Leeuwenhoek Saison Blend;;;White Labs;White Lab;;;WLP564;;ale;liquid;high;;low;79;19;24
London Ale;;;White Labs;White Lab;;;WLP013;;ale;liquid;medium;;medium;71;19;22
London Fog Ale;;;White Labs;White Lab;;;WLP066;;ale;liquid;high;;medium;78.5;18;22
Manchester Ale;;;White Labs;White Lab;;;WLP038;;ale;liquid;medium;;medium-high;72;18;21
Marañón Canyon Wild Cacao;;;White Labs;White Lab;;;WLP546;;ale;liquid;medium;;low;67.5;18;24
Mexican Lager;;;White Labs;White Lab;;;WLP940;;lager;liquid;medium;;medium;74;10;13
Monastary Ale;;;White Labs;White Lab;;;WLP500;;ale;liquid;high;;medium;77.5;18;22
Munich Helles;;;White Labs;White Lab;;;WLP860;;lager;liquid;medium;;medium;70;9;11
Neutral Grain;;;White Labs;White Lab;;;WLP078;;ale;liquid;high;;medium;81;24;29
New Nordic Ale;;;White Labs;White Lab;;;WLP611;;ale;liquid;medium;;medium;70;10;30
Oktoberfest/Märzen Lager;;;White Labs;White Lab;;;WLP820;;lager;liquid;medium;;medium;69;11;14
Old Bavarian Lager;;;White Labs;White Lab;;;WLP920;;lager;liquid;medium;;medium;69.5;10;13
Old Sonoma Ale;;;White Labs;White Lab;;;WLP076;;ale;liquid;medium;;medium;72;19;21
Opshaug Kveik Ale;;;White Labs;White Lab;;;WLP518;;ale;liquid;medium;;medium;75;25;30
Pacific Ale;;;White Labs;White Lab;;;WLP041;;ale;liquid;medium;;high;67.5;18;20
Pilsner Lager;;;White Labs;White Lab;;;WLP800;;lager;liquid;medium;;medium-high;74.5;10;13
Premium Bitter Ale;;;White Labs;White Lab;;;WLP026;;ale;liquid;medium;;medium;72.5;19;16
Ringwood Ale: Strain 1187;;;White Labs;White Lab;;;;;ale;liquid;high;;high;77;20;22
"Saccharomyces ""Bruxellensis"" Trois";;;White Labs;White Lab;;;WLP644;;ale;liquid;medium;;low;85;21;29
Sake #7;;;White Labs;White Lab;;;WLP705;;wine-cider;liquid;high;;low;90;21;38
Sake #9;;;White Labs;White Lab;;;WLP709;;wine-cider;liquid;low;;low;75;17;20
San Diego Super;;;White Labs;White Lab;;;WLP090;;ale;liquid;high;;medium-high;79.5;18;20
San Francisco Lager;;;White Labs;White Lab;;;WLP810;;lager;liquid;medium;;high;67.5;14;18
Scotch Whiskey;;;White Labs;White Lab;;;WLP045;;ale;liquid;high;;medium;77;22;25
Southern German Lager;;;White Labs;White Lab;;;WLP838;;lager;liquid;medium;;medium-high;72;10;13
Southwold Ale;;;White Labs;White Lab;;;WLP025;;ale;liquid;medium;;medium;71.5;19;21
Super High Gravity Ale;;;White Labs;White Lab;;;WLP099;;ale;liquid;high;;medium;85;18;21
Sweet Mead/Wine;;;White Labs;White Lab;;;WLP720;;wine-cider;liquid;;15;low;75;21;24
Tennessee Whiskey;;;White Labs;White Lab;;;WLP050;;ale;liquid;high;;medium;77;24;26
Whitbread Ale;;;White Labs;White Lab;;;WLP017;;ale;liquid;medium;;high;70;19;21
Hazy Daze;;;White Labs;White Lab;;;WLP4044;;ale;liquid;low;;low;81;18;21
Charlie;;;White Labs;White Lab;;;WLP1983;;ale;liquid;medium;;low;68;20;23
Hornindal Kveik Ale;;;White Labs;White Lab;;;WLP521;;ale;liquid;high;;high;79;22;37
Torulaspora delbrueckii;;;White Labs;White Lab;;;WLP603;;ale;liquid;low;;low;40;18;26
Thai Rice Chong;;;White Labs;White Lab;;;WLP780;;ale;liquid;high;;medium;76;21;26
Yorkshire Square Ale;;;White Labs;White Lab;;;WLP037;;ale;liquid;medium;;high;70;18;21
Zurich Lager;;;White Labs;White Lab;;;WLP885;;lager;liquid;medium;;medium;75;10;13
Sigmund Kveik Ale;;;White Labs;White Lab;;;WLP520;;ale;liquid;high;;medium;79;22;37
Stranda Kveik Ale;;;White Labs;White Lab;;;WLP519;;ale;liquid;high;;medium;80;22;37
American Ale;;;Wyeast;;;;1056;;ale;liquid;;10;medium-low;75;16;22
American Ale II;;;Wyeast;;;;1272;;ale;liquid;;10;high;74;16;22
American Lager;;;Wyeast;;;;2035;;lager;liquid;;9;medium;75;9;14
American Wheat;;;Wyeast;;;;1010;;wheat;liquid;;10;low;76;14;23
Bavarian Lager;;;Wyeast;;;;2206;;lager;liquid;;9;medium-high;75;8;14
Bavarian Wheat;;;Wyeast;;;;3056;;wheat;liquid;;10;medium;75;18;23
Bavarian Wheat;;;Wyeast;;;;3638;;wheat;liquid;;10;low;73;18;24
Belgian Abby Ale II;;;Wyeast;;;;1762;;ale;liquid;;12;medium;75;18;24
Belgian Ale;;;Wyeast;;;;1214;;ale;liquid;;12;medium-low;75;20;26
Belgian Ardennes;;;Wyeast;;;;3522;;ale;liquid;;12;high;74;18;29
Belgian Dark Ale;;;Wyeast;;;;3822;;ale;liquid;;12;medium;76;18;27
Belgian Lambic Blend;;;Wyeast;;;;3278;;ale;liquid;;12;medium;75;17;24
Belgian Saison;;;Wyeast;;;;3724;;ale;liquid;;12;low;78;21;35
Belgian Schelde;;;Wyeast;;;;3655;;ale;liquid;;11;medium;75;17;23
Belgian Stout;;;Wyeast;;;;1581;;ale;liquid;;12;medium;80;18;24
Belgian Strong Ale;;;Wyeast;;;;1388;;ale;liquid;;12;low;76;18;27
Belgian Wheat;;;Wyeast;;;;3942;;wheat;liquid;;12;medium;74;18;23
Belgian Witbier;;;Wyeast;;;;3944;;ale;liquid;;12;medium-low;74;17;24
Berliner Weisse Blend;;;Wyeast;;;;3191;;brett-bacteria;liquid;;6;low;75;20;22
Bier de Garde;;;Wyeast;;;;3725;;ale;liquid;;12;low;76;21;35
Bohemian Lager;;;Wyeast;;;;2124;;lager;liquid;;9;medium;75;9;14
Brettanomyces bruxellensis;;;Wyeast;;;;5112;;brett-bacteria;liquid;;12;medium;90;16;24
Brettanomyces Claussenii;;;Wyeast;;;;5151-PC;;brett-bacteria;dry;high;;medium;80;16;24
Brettanomyces lambicus;;;Wyeast;;;;5526;;brett-bacteria;liquid;;12;medium;90;16;24
British Ale;;;Wyeast;;;;1098;;ale;liquid;;10;medium-high;74;18;22
British Ale;;;Wyeast;;;;1335;;ale;liquid;;10;high;74.5;17;24
British Cask Ale;;;Wyeast;;;;1026;;ale;liquid;;10;medium-high;76;17;22
Budvar Lager;;;Wyeast;;;;2000;;lager;liquid;;9;medium-high;73;9;13
California Lager;;;Wyeast;;;;2112;;lager;liquid;;9;high;69;14;20
Canadian/Belgian Ale;;;Wyeast;;;;3864;;ale;liquid;;12;medium;77;18;27
Cider;;;Wyeast;;;;4766;;wine-cider;liquid;;12;low;85;18;21
Czech Pils;;;Wyeast;;;;2278;;lager;liquid;;9;medium-high;72;10;14
Danish Lager;;;Wyeast;;;;2042;;lager;liquid;;9;low;75;8;13
Denny's Favorite 50;;;Wyeast;;;;1450;;ale;liquid;;10;low;75;16;21
Dry Mead;;;Wyeast;;;;4632;;wine-cider;liquid;;18;low;95;13;24
English Special Bitter;;;Wyeast;;;;1768;;ale;liquid;;9;high;70;18;22
European Ale;;;Wyeast;;;;1338;;ale;liquid;;10;high;69;17;22
European Lager;;;Wyeast;;;;2247;;lager;liquid;;9;low;75;8;13
Farmhouse Ale;;;Wyeast;;;;3726;;ale;liquid;;12;;76;21;35
Flanders Golden Ale;;;Wyeast;;;;3739;;ale;liquid;;12;medium-low;76;18;27
Forbidden Fruit;;;Wyeast;;;;3463;;ale;liquid;;12;low;74;17;24
French Saison;;;Wyeast;;;;3711;;ale;liquid;;12;low;80;18;25
Gambrinus Style Lager;;;Wyeast;;;;2002-PC;;lager;liquid;;9;medium-high;73;8;13
German Ale;;;Wyeast;;;;1007;;ale;liquid;;11;low;75;13;20
German Wheat;;;Wyeast;;;;3333;;wheat;liquid;;10;high;73;17;24
Hella Bock;;;Wyeast;;;;2487;;ale;liquid;;12;medium;72;9;13
Irish Ale;;;Wyeast;;;;1084;;ale;liquid;;10;medium;73;17;22
Kölsch;;;Wyeast;;;;2565;;ale;liquid;;10;low;75;13;21
Kölsch II;;;Wyeast;;;;2575;;ale;liquid;;10;low;75;13;21
Lactobacillus brevis;;;Wyeast;;;;5223-PC;;brett-bacteria;liquid;high;;low;;16;35
Lactobacillus;;;Wyeast;;;;5335;;brett-bacteria;liquid;;9;;75;16;35
Leuven Pale Ale;;;Wyeast;;;;3538;;ale;liquid;;12;high;76;18;27
London Ale;;;Wyeast;;;;1028;;ale;liquid;;10;medium-low;75;16;22
London Ale III;;;Wyeast;;;;1318;;ale;liquid;;10;high;73;18;23
London ESB Ale;;;Wyeast;;;;1968;;ale;liquid;;10;very-high;69;18;22
Munich Lager;;;Wyeast;;;;2308;;lager;liquid;;9;medium;72;9;13
Munich Lager II;;;Wyeast;;;;2352;;lager;liquid;;10;medium;73;11;17
NB NeoBritannia;;;Wyeast;;;;1945;;ale;liquid;;10;medium-high;74;19;23
North American Lager;;;Wyeast;;;;2272;;lager;liquid;;9;high;73;11;14
Northwest Ale;;;Wyeast;;;;1332;;ale;liquid;;10;high;69;18;24
Octoberfest Lager Blend;;;Wyeast;;;;2633;;lager;liquid;;9;medium-low;75;9;14
Pediococcus;;;Wyeast;;;;5733;;ale;liquid;;9;;75;16;35
Pilsen Lager;;;Wyeast;;;;2007;;lager;liquid;;9;medium;73;9;13
Pilsner Urquell H-Strain;;;Wyeast;;;;2001-PC;;lager;liquid;medium;;medium;74;9;13
Private Collection West Coast IPA;;;Wyeast;;;;1217;;ale;liquid;;10;medium-high;75;17;23
Rasenmäher Lager;;;Wyeast;;;;2252;;lager;liquid;;9;low;75;9;20
Ringwood Ale;;;Wyeast;;;;1187;;ale;liquid;;10;high;70;18;23
Rocky Mountain Lager;;;Wyeast;;;;2105;;lager;liquid;;10;medium-high;72;9;13
Roeselare Ale Blend;;;Wyeast;;;;3763;;ale;liquid;;11;;80;18;29
Rogue Pacman;;;Wyeast;;;;1764;;ale;liquid;;12;medium-high;75;16;22
Saison-Brett Blend;;;Wyeast;;;;3031-PC;;brett-bacteria;liquid;;12;low;85;18;27
Sake;;;Wyeast;;;;WY4134;;wine-cider;dry;high;;low;65;16;24
Scottish Ale;;;Wyeast;;;;1728;;ale;liquid;;12;high;71;13;24
Staro Prague Lager;;;Wyeast;;;;2782;;lager;liquid;;11;high;72;10;14
Sweet Mead;;;Wyeast;;;;4184;;wine-cider;liquid;;11;medium;75;18;24
Thames Valley Ale;;;Wyeast;;;;1275;;ale;liquid;;10;medium-low;77;17;22
Thames Valley II;;;Wyeast;;;;1882;;ale;liquid;;10;high;75;16;21
Trappist Blend;;;Wyeast;;;;3789;;ale;liquid;;12;medium;77;20;29
Trappist High Gravity;;;Wyeast;;;;3787;;ale;liquid;;12;medium-high;76;18;26
Urquell Lager;;;Wyeast;;;;2001;;lager;liquid;;9;medium-high;74;9;14
Weihenstephan Weizen;;;Wyeast;;;;3068;;wheat;liquid;;10;low;75;18;24
West Yorkshire;;;Wyeast;;;;1469;;ale;liquid;;9;high;69;18;22
Whitbread Ale;;;Wyeast;;;;1099;;ale;liquid;;10;high;70;18;24
Coopers Ale;;Coopers;Coopers;;;;;;ale;dry;medium;;high;75;20;24
Premium Gold;;;Muntons;;;;;;ale;dry;;;medium;75;14;25
